city,name,star_rating,price
Tokyo,The Ritz-Carlton,1,100
Jakarta,Four Seasons,2,200
Delhi,St. Regis,3,300
Guangzhou,The Luxury Collection,4,400
Mumbai,Marriott,5,500
Manila,Hilton,1,100
Shanghai,Hyatt,2,200
Sao Paulo,InterContinental,3,300
Seoul,Sheraton,4,400
Mexico City,Crowne Plaza,5,500
Kolkata,Signature Boutique Hotel,1,100
Cairo,Urban Luxe Suites,2,200
Karachi,The Heritage Corner,3,300
Dhaka,Elite Craft Hotel,4,400
New York,Premier Boutique Stay,5,500
Beijing,The Exquisite Retreat,1,100
Bangkok,Regal Charm Boutique,2,200
Shenzhen,LegacyCraft Suites,3,300
Moscow,CityView Boutique,4,400
Mexico City,Majestic Urban Boutique,5,500
Kolkata,The Velvet Key,1,100
Cairo,Solara Retreat,2,200
Karachi,Emberline Hotel,3,300
Dhaka,The Gilded Harbor,4,400
New York,Havencrest Inn,5,500
Beijing,Marrow & Stone,1,100
Bangkok,Hotel Artistry Studio,2,200
Shenzhen,Artisan Hotel Collective,3,300
Moscow,Masterpiece Manor,4,400
Mexico City,Prime Prestige Studio,5,500
Kolkata,Elite Escapes Oasis,1,100
Cairo,Hotel Excellence Artistry,2,200
Karachi,Crafting Comfort Legacy,3,300
Dhaka,Serenity Sands,4,400
New York,Pinnacle Perfection,5,500
Beijing,Opulent Overlook,1,100
Bangkok,Epic Estates,2,200
Shenzhen,Majestic Moments,3,300
Moscow,Supreme Solitude,4,400
Shenzhen,Enigma's Embrace Haven,5,500
Moscow,Whispering Dreams,1,100
